Film,Franchise,Film Rating,Genre,Release Date,Metacritic Score,Production Budget,WW Gross,Wins,Nominations,Oscar Winner,Oscar Nominee,Production Studio,Country of Origin,Length,Director,Sequence,Ratio,Sequel Film,Sequel Film Rating,Sequel Genre,Sequel Release Date,Sequel Production Budget,Sequel WW Gross,Sequel Ratio,Sequel Length,Sequel Director,Sequel Studio,Months Between Releases
Damien: Omen II,omen,R,Drama,1978-06-09,45.0,6800000.0,26518355,3,1,0,0,Twentieth Century Fox,UK,107,Don Taylor,2,3.899758088235290,The Final Conflict,R,Horror,1981-03-20,5000000.0,20471382,4.0942764,108,Graham Baker,Twentieth Century Fox,33
Paddington,paddington,PG,Adventure,2015-01-16,77.0,55000000.0,282839394,3,6,0,0,StudioCanal,UK,95,Paul King,1,5.142534436363640,Paddington 2,PG,Adventure,2018-01-12,40000000.0,227978523,5.699463075,103,Paul King,StudioCanal,36
The Pink Panther,panther,PG,Adventure,2006-02-10,38.0,80000000.0,164115897,1,8,0,0,Metro-Goldwyn-Mayer (MGM),USA,93,Shawn Levy,1,2.0514487125,The Pink Panther 2,PG,Action,2009-02-06,70000000.0,76025134,1.086073342857140,92,Harald Zwart,Metro-Goldwyn-Mayer (MGM),36
Paranormal Activity,paranormal,R,Horror,2009-10-16,68.0,15000.0,193355800,3,12,0,0,Solana Films,USA,86,Oren Peli,1,12890.386666666700,Paranormal Activity 2,R,Horror,2010-10-22,3000000.0,177512032,59.17067733333330,91,Tod Williams,Paramount Pictures,12
Paranormal Activity 2,paranormal,R,Horror,2010-10-22,53.0,3000000.0,177512032,1,2,0,0,Paramount Pictures,USA,91,Tod Williams,2,59.17067733333330,Paranormal Activity 3,R,Horror,2011-10-21,5000000.0,207039844,41.4079688,83,Henry Joost,Paramount Pictures,12
Paranormal Activity 3,paranormal,R,Horror,2011-10-21,59.0,5000000.0,207039844,1,6,0,0,Paramount Pictures,USA,83,Henry Joost,3,41.4079688,Paranormal Activity 4,R,Horror,2012-10-19,5000000.0,142802657,28.5605314,88,Henry Joost,Paramount Pictures,12
Pet Sematary,pet,R,Horror,1989-04-21,38.0,11500000.0,57469467,1,5,0,0,Paramount Pictures,USA,103,Mary Lambert,1,4.997344956521740,Pet Sematary II,R,Fantasy,1992-08-28,8000000.0,17092453,2.136556625,100,Mary Lambert,Paramount Pictures,40
American Pie,pie,R,Comedy,1999-07-09,58.0,11000000.0,235483004,9,14,0,0,Universal Pictures,USA,95,Paul Weitz,1,21.40754581818180,American Pie 2,R,Comedy,2001-08-10,30000000.0,287553595,9.585119833333330,108,J.B. Rogers,LivePlanet,25
American Pie 2,pie,R,Comedy,2001-08-10,43.0,30000000.0,287553595,8,6,0,0,LivePlanet,USA,108,J.B. Rogers,2,9.585119833333330,American Wedding,R,Comedy,2003-08-01,55000000.0,232722935,4.231326090909090,96,Jesse Dylan,Universal Pictures,24
Piranha 3D,piranha,R,Comedy,2010-08-20,53.0,24000000.0,83188165,2,12,0,0,Dimension Films,USA,88,Alexandre Aja,1,3.4661735416666700,Piranha 3DD,R,Comedy,2012-07-14,5000000.0,8518634,1.7037268,83,John Gulager,Dimension Films,23
Pirates of the Caribbean: The Curse of the Black Pearl,pirate,PG-13,Action,2003-07-09,63.0,140000000.0,654264015,38,98,0,1,Walt Disney Pictures,USA,143,Gore Verbinski,1,4.673314392857140,Pirates of the Caribbean: Dead Man's Chest,PG-13,Action,2006-07-07,225000000.0,1066179725,4.7385765555555600,151,Gore Verbinski,Walt Disney Pictures,36
Pirates of the Caribbean: Dead Man's Chest,pirate,PG-13,Action,2006-07-07,53.0,225000000.0,1066179725,43,53,1,1,Walt Disney Pictures,USA,151,Gore Verbinski,2,4.7385765555555600,Pirates of the Caribbean: At World's End,PG-13,Action,2007-05-25,300000000.0,960996492,3.20332164,169,Gore Verbinski,Walt Disney Pictures,10
